student_id,school_id,school_type,gender,marriage_status,physical_disability,district,area_type,wealth_level,age,distance_to_school,library_access,internet_access,attendance_rate,academic_score,class_repetition,education_level,dropout
STU-006078,SCH-299,Public,Male,Single,1,Rasuwa,Rural,Fourth,7,1,1,0,81%,3.2,0,Primary,0
STU-002754,SCH-009,Public,Female,Single,0,Rasuwa,Urban,Fourth,14,3.67,1,1,74%,2.8,0,Upper Secondary,1
STU-009754,SCH-353,Public,Female,Single,0,Ramechhap,Rural,Second,10,0.94,0,0,68%,3.6,0,Lower Secondary,0
STU-006232,SCH-047,Public,Male,Single,0,Kathmandu,Urban,Fourth,10,0.51,1,1,100%,3.6,0,Lower Secondary,0
STU-002877,SCH-355,Public,Female,Single,0,Makwanpur,Rural,Fourth,9,1.8,0,1,62%,2,0,Primary,1
STU-005324,SCH-489,Public,Male,Single,0,Dolakha,Rural,Richest,8,1.36,0,0,60%,3.2,0,Primary,0
STU-000800,SCH-048,Public,Female,Single,0,Rasuwa,Rural,Fourth,9,1.86,0,0,49%,2,0,Primary,1
STU-008179,SCH-191,Public,Female,Single,0,Bhaktapur,Urban,Second,7,1.93,1,1,78%,3.6,0,Primary,0
STU-000972,SCH-371,Public,Male,Single,0,Rasuwa,Rural,Richest,12,2.48,0,0,51%,2.4,0,Lower Secondary,1
STU-006688,SCH-436,Public,Female,Single,0,Kathmandu,Urban,Fourth,6,1.57,1,0,78%,3.2,0,Primary,0
STU-008576,SCH-327,Private,Female,Single,0,Makwanpur,Rural,Second,7,0.67,0,0,72%,3.2,0,Primary,0
STU-002021,SCH-122,Public,Female,Single,0,Ramechhap,Urban,Second,7,0.54,1,1,65%,2,1,Primary,1
STU-009055,SCH-041,Public,Female,Single,0,Chitwan,Rural,Second,12,1.73,0,0,74%,2.8,0,Lower Secondary,0
STU-005862,SCH-434,Public,Male,Single,0,Sindhupalchok,Rural,Richest,10,2.34,1,1,94%,3.2,0,Lower Secondary,0
STU-003007,SCH-496,Public,Female,Single,0,Ramechhap,Rural,Richest,11,0.68,0,1,52%,1.6,0,Lower Secondary,1
STU-009002,SCH-471,Private,Male,Single,0,Lalitpur,Rural,Second,10,1.31,0,0,56%,2.8,0,Lower Secondary,0
STU-007439,SCH-212,Private,Female,Single,0,Rasuwa,Urban,Poorest,7,1.92,1,1,74%,3.2,0,Primary,0
STU-007943,SCH-174,Public,Female,Single,0,Ramechhap,Rural,Poorest,6,1.23,0,0,77%,2.8,0,Primary,0
STU-001057,SCH-420,Public,Male,Single,1,Sindhuli,Rural,Poorest,10,1.1,0,0,40%,1.6,0,Lower Secondary,1
STU-003155,SCH-016,Public,Male,Single,0,Dhading,Rural,Fourth,10,0.62,0,0,42%,1.6,0,Lower Secondary,1
STU-003788,SCH-093,Public,Male,Single,0,Nuwakot,Rural,Middle,13,5.77,0,1,71%,2.8,1,Upper Secondary,1
STU-009190,SCH-379,Public,Female,Single,0,Lalitpur,Rural,Second,10,3.74,0,1,70%,2.8,0,Lower Secondary,0
STU-007826,SCH-481,Public,Female,Single,0,Lalitpur,Rural,Fourth,8,0.38,0,1,83%,3.2,1,Primary,0
STU-005020,SCH-245,Public,Female,Single,0,Rasuwa,Rural,Second,9,0.77,0,1,76%,3.2,0,Primary,0
STU-006844,SCH-230,Private,Male,Single,0,Dolakha,Rural,Middle,10,3.8,0,1,75%,3.2,2,Lower Secondary,0
STU-002166,SCH-054,Public,Female,Single,1,Chitwan,Rural,Poorest,10,2.46,0,0,40%,1.6,0,Lower Secondary,1
STU-005528,SCH-044,Private,Male,Single,0,Rasuwa,Rural,Second,12,2.09,0,0,75%,2.8,0,Lower Secondary,0
STU-004004,SCH-493,Public,Female,Single,0,Kathmandu,Urban,Second,8,0.58,1,1,54%,2,0,Primary,1
STU-004050,SCH-114,Public,Male,Single,0,Ramechhap,Rural,Poorest,7,1.82,0,1,42%,2,0,Primary,1
STU-004072,SCH-336,Public,Female,Single,0,Dhading,Rural,Fourth,7,0.38,1,1,66%,2,0,Primary,1
STU-005971,SCH-138,Public,Female,Single,0,Rasuwa,Urban,Fourth,8,0.95,1,1,88%,3.2,1,Primary,0
STU-003351,SCH-214,Public,Female,Single,1,Dhading,Rural,Poorest,9,0.12,0,0,40%,1.6,0,Primary,1
STU-004696,SCH-061,Public,Female,Single,0,Sindhuli,Urban,Fourth,5,0.12,1,1,55%,2.8,0,Primary,1
STU-009150,SCH-351,Public,Male,Single,0,Rasuwa,Rural,Fourth,11,0.92,0,0,72%,3.2,0,Lower Secondary,0
STU-006293,SCH-204,Public,Female,Single,0,Chitwan,Urban,Middle,8,0.55,1,1,81%,4,0,Primary,0
STU-000511,SCH-190,Public,Female,Single,0,Kathmandu,Urban,Poorest,8,1.24,1,1,55%,2,0,Primary,1
STU-009418,SCH-316,Private,Male,Single,0,Bhaktapur,Urban,Fourth,14,3.4,1,1,78%,3.6,1,Upper Secondary,0
STU-000097,SCH-428,Public,Male,Single,0,Chitwan,Rural,Fourth,5,1.89,0,1,66%,2.4,2,Primary,1
STU-001513,SCH-160,Public,Male,Single,0,Rasuwa,Rural,Poorest,9,1.54,0,0,40%,2,1,Primary,1
STU-008792,SCH-233,Public,Female,Single,0,Sindhuli,Rural,Middle,10,3.17,0,0,62%,3.2,0,Lower Secondary,0
STU-000120,SCH-474,Public,Male,Single,0,Kathmandu,Urban,Second,14,5.03,1,1,42%,2.4,1,Upper Secondary,1
STU-007888,SCH-210,Public,Male,Single,0,Dhading,Rural,Poorest,15,1.75,0,0,68%,3.2,0,Upper Secondary,0
STU-004748,SCH-252,Private,Female,Single,0,Chitwan,Rural,Fourth,7,0.1,1,1,58%,2.8,1,Primary,1
STU-006040,SCH-422,Private,Male,Single,0,Sindhupalchok,Rural,Poorest,8,1.61,0,1,78%,3.2,0,Primary,0
STU-003818,SCH-276,Private,Male,Single,0,Bhaktapur,Rural,Poorest,6,0.46,0,0,42%,2,0,Primary,1
STU-005270,SCH-458,Public,Female,Single,0,Chitwan,Rural,Poorest,12,1.09,0,0,68%,3.2,0,Lower Secondary,0
STU-005310,SCH-423,Private,Male,Single,0,Rasuwa,Rural,Poorest,12,1.1,0,0,75%,3.2,0,Lower Secondary,0
STU-005675,SCH-359,Public,Female,Single,0,Dhading,Rural,Middle,14,3.12,0,0,63%,3.2,1,Upper Secondary,0
STU-000030,SCH-360,Private,Male,Single,1,Sindhupalchok,Rural,Fourth,8,1.15,0,1,40%,1.6,0,Primary,1
STU-000107,SCH-350,Public,Female,Single,0,Rasuwa,Rural,Second,10,2.9,0,0,43%,1.6,0,Lower Secondary,1
STU-006790,SCH-353,Public,Female,Single,0,Lalitpur,Urban,Middle,16,2.82,1,1,87%,2.8,0,Upper Secondary,0
STU-000361,SCH-373,Public,Male,Single,0,Dhading,Rural,Fourth,13,4.87,1,1,53%,2.4,2,Upper Secondary,1
STU-008966,SCH-110,Private,Female,Single,1,Bhaktapur,Urban,Middle,7,1.19,0,0,64%,3.2,0,Primary,0
STU-008314,SCH-231,Public,Male,Single,0,Nuwakot,Urban,Middle,15,3.44,1,0,86%,3.6,0,Upper Secondary,0
STU-003101,SCH-486,Public,Male,Single,0,Dhading,Rural,Fourth,6,0.47,0,0,49%,1.6,0,Primary,1
STU-005704,SCH-470,Public,Female,Single,0,Sindhuli,Rural,Poorest,6,1.55,0,0,67%,3.2,0,Primary,0
STU-003899,SCH-155,Public,Female,Single,0,Sindhuli,Urban,Poorest,8,1.25,0,1,70%,2.4,0,Primary,1
STU-007931,SCH-383,Public,Female,Single,0,Dolakha,Rural,Second,10,0.65,0,1,70%,2.8,0,Lower Secondary,0
STU-000622,SCH-477,Private,Male,Single,0,Ramechhap,Rural,Second,10,1.31,0,0,43%,1.6,2,Lower Secondary,1
STU-007236,SCH-487,Public,Female,Single,0,Dolakha,Urban,Middle,10,1.93,1,1,78%,3.6,1,Lower Secondary,0
STU-008404,SCH-065,Public,Female,Single,0,Sindhupalchok,Rural,Poorest,11,2.26,0,0,61%,3.2,0,Lower Secondary,0
STU-004270,SCH-405,Public,Male,Single,0,Dhading,Rural,Poorest,9,1.64,0,0,54%,2,0,Primary,1
STU-002909,SCH-180,Public,Male,Single,0,Makwanpur,Rural,Fourth,9,1.19,0,1,42%,2,0,Primary,1
STU-008081,SCH-289,Private,Female,Single,0,Sindhuli,Rural,Middle,12,1.81,0,0,74%,2.4,1,Lower Secondary,0
STU-001262,SCH-386,Public,Male,Single,0,Lalitpur,Urban,Poorest,8,0.53,0,1,43%,2,0,Primary,1
STU-003913,SCH-377,Public,Male,Single,0,Lalitpur,Urban,Fourth,11,3.25,1,1,75%,2.4,0,Lower Secondary,1
STU-008847,SCH-293,Public,Female,Single,0,Makwanpur,Urban,Fourth,8,1.9,1,0,79%,3.2,0,Primary,0
STU-009203,SCH-356,Public,Male,Single,0,Dolakha,Rural,Poorest,7,0.81,0,0,70%,2.8,0,Primary,0
STU-000312,SCH-004,Public,Male,Single,0,Sindhupalchok,Rural,Second,8,0.11,1,1,56%,2,0,Primary,1
STU-008077,SCH-356,Public,Female,Single,0,Dolakha,Rural,Middle,18,2.44,0,0,64%,3.2,0,Upper Secondary,0
STU-006502,SCH-010,Public,Male,Single,0,Nuwakot,Rural,Fourth,6,0.29,0,1,76%,2.8,0,Primary,0
STU-002738,SCH-155,Public,Male,Single,0,Kathmandu,Urban,Fourth,9,0.24,0,0,60%,2,0,Primary,1
STU-008206,SCH-277,Public,Female,Single,0,Bhaktapur,Rural,Second,5,0.47,0,0,66%,3.2,0,Primary,0
STU-008001,SCH-402,Public,Male,Single,0,Sindhupalchok,Urban,Second,8,0.4,1,1,89%,2.8,0,Primary,0
STU-007378,SCH-311,Private,Male,Single,0,Dolakha,Rural,Second,15,4.42,0,0,78%,3.2,0,Upper Secondary,0
STU-005382,SCH-378,Private,Male,Single,0,Lalitpur,Rural,Richest,13,5.34,1,0,74%,3.2,0,Upper Secondary,0
STU-005742,SCH-070,Private,Male,Single,0,Nuwakot,Rural,Fourth,11,2.05,0,1,74%,4,0,Lower Secondary,0
STU-006728,SCH-086,Private,Female,Single,0,Bhaktapur,Urban,Poorest,11,2.07,0,1,79%,2.8,0,Lower Secondary,0
STU-004382,SCH-138,Private,Male,Single,0,Sindhupalchok,Rural,Middle,6,0.69,0,0,51%,2,0,Primary,1
STU-001113,SCH-457,Private,Female,Single,0,Sindhupalchok,Rural,Second,9,1.89,0,1,41%,2,0,Primary,1
STU-008820,SCH-393,Public,Female,Single,0,Dolakha,Rural,Middle,7,0.44,0,0,68%,3.2,0,Primary,0
STU-000081,SCH-361,Public,Female,Single,0,Rasuwa,Urban,Richest,6,0.91,0,1,68%,2.8,0,Primary,1
STU-001510,SCH-123,Public,Female,Single,0,Dolakha,Rural,Middle,6,0.87,0,0,58%,2.4,0,Primary,1
STU-003071,SCH-265,Private,Male,Single,0,Dhading,Rural,Poorest,8,0.97,1,1,40%,2,0,Primary,1
STU-007822,SCH-277,Public,Male,Single,0,Rasuwa,Rural,Second,11,3.82,0,0,72%,2.8,0,Lower Secondary,0
STU-004443,SCH-356,Public,Female,Single,0,Lalitpur,Urban,Middle,13,2.13,0,1,69%,2.8,1,Upper Secondary,1
STU-009702,SCH-355,Private,Female,Single,0,Chitwan,Rural,Fourth,8,0.6,1,1,87%,2.8,0,Primary,0
STU-004322,SCH-195,Private,Female,Single,1,Rasuwa,Rural,Second,7,1.9,0,0,40%,1.6,0,Primary,1
STU-003394,SCH-010,Private,Female,Single,0,Ramechhap,Rural,Fourth,8,1.84,1,0,51%,2.4,1,Primary,1
STU-004752,SCH-228,Public,Female,Single,0,Nuwakot,Rural,Fourth,9,1.16,0,1,41%,2,0,Primary,1
STU-002361,SCH-399,Public,Male,Single,0,Chitwan,Urban,Richest,7,1.29,1,1,68%,2.4,0,Primary,1
STU-001148,SCH-238,Private,Male,Single,0,Chitwan,Rural,Second,7,0.5,0,0,41%,1.6,0,Primary,1
STU-004943,SCH-404,Public,Female,Single,0,Nuwakot,Rural,Middle,12,3.1,0,0,48%,2.4,1,Lower Secondary,1
STU-003663,SCH-121,Public,Female,Single,0,Chitwan,Urban,Second,8,1.44,0,0,43%,1.6,0,Primary,1
STU-001563,SCH-137,Public,Female,Single,0,Dolakha,Urban,Poorest,6,0.59,0,1,47%,2,0,Primary,1
STU-009050,SCH-020,Public,Male,Single,0,Bhaktapur,Urban,Poorest,6,0.37,0,0,68%,2.8,0,Primary,0
STU-008538,SCH-203,Public,Female,Single,1,Lalitpur,Urban,Fourth,11,2.56,1,1,63%,3.2,0,Lower Secondary,0
STU-005854,SCH-334,Private,Male,Single,0,Lalitpur,Urban,Richest,15,3.11,1,1,81%,2.8,0,Upper Secondary,0
STU-007619,SCH-184,Public,Male,Single,0,Lalitpur,Urban,Second,7,0.62,0,1,67%,3.2,0,Primary,0
STU-001594,SCH-120,Private,Female,Single,0,Nuwakot,Rural,Middle,10,3.16,0,0,67%,2,1,Lower Secondary,1
STU-007418,SCH-448,Public,Male,Single,0,Makwanpur,Rural,Second,8,0.19,0,0,72%,3.2,0,Primary,0
STU-000089,SCH-438,Public,Female,Single,0,Bhaktapur,Urban,Poorest,11,2.54,1,0,50%,2,2,Lower Secondary,1
STU-009446,SCH-243,Public,Female,Single,0,Kathmandu,Urban,Second,6,1.25,0,1,62%,3.2,0,Primary,0
STU-006754,SCH-351,Private,Female,Single,0,Chitwan,Urban,Middle,6,0.15,1,0,69%,3.6,0,Primary,0
STU-003502,SCH-288,Public,Male,Single,0,Bhaktapur,Urban,Richest,15,5.8,1,1,75%,2.8,0,Upper Secondary,1
STU-002234,SCH-081,Public,Female,Single,1,Sindhuli,Rural,Middle,7,0.25,0,0,40%,2,0,Primary,1
STU-008337,SCH-333,Public,Female,Single,0,Rasuwa,Rural,Richest,5,0.92,0,1,85%,3.2,0,Primary,0
STU-002148,SCH-344,Public,Female,Single,0,Bhaktapur,Rural,Fourth,10,2.29,0,0,46%,1.6,1,Lower Secondary,1
STU-007969,SCH-041,Public,Male,Single,0,Ramechhap,Rural,Poorest,11,3.15,0,0,64%,2.8,0,Lower Secondary,0
STU-007643,SCH-333,Private,Male,Single,0,Kathmandu,Rural,Middle,7,2,1,0,75%,3.2,0,Primary,0
STU-006164,SCH-249,Public,Male,Single,0,Lalitpur,Urban,Middle,9,0.41,0,1,83%,3.6,0,Primary,0
STU-001495,SCH-137,Private,Female,Single,0,Ramechhap,Rural,Middle,16,5.64,1,0,50%,2.8,0,Upper Secondary,1
STU-007094,SCH-386,Private,Male,Married,0,Kathmandu,Urban,Second,19,1.47,0,1,61%,3.2,1,Upper Secondary,0
STU-003401,SCH-105,Public,Male,Single,0,Ramechhap,Rural,Poorest,8,0.88,0,0,40%,1.6,0,Primary,1
STU-000109,SCH-037,Public,Female,Single,0,Makwanpur,Urban,Poorest,13,2.96,1,1,57%,2,0,Upper Secondary,1
STU-008482,SCH-289,Public,Female,Single,0,Sindhuli,Rural,Poorest,12,0.74,0,0,59%,3.2,0,Lower Secondary,0
STU-001091,SCH-290,Public,Female,Single,0,Makwanpur,Rural,Richest,9,1.17,0,0,60%,2,0,Primary,1
STU-008664,SCH-493,Public,Male,Single,0,Ramechhap,Rural,Richest,8,0.15,0,0,89%,2.8,1,Primary,0
STU-000624,SCH-443,Public,Male,Single,0,Sindhuli,Rural,Richest,12,3,1,1,45%,2,0,Lower Secondary,1
STU-004814,SCH-416,Private,Male,Single,0,Bhaktapur,Rural,Fourth,9,1.38,0,0,46%,1.6,0,Primary,1
STU-006553,SCH-109,Public,Female,Single,0,Sindhupalchok,Rural,Poorest,9,1.86,0,0,68%,3.2,0,Primary,0
STU-007437,SCH-177,Public,Male,Single,0,Ramechhap,Urban,Second,12,3.96,0,0,74%,3.2,1,Lower Secondary,0
STU-004218,SCH-118,Public,Female,Single,0,Lalitpur,Urban,Fourth,16,2.02,1,1,80%,2.8,0,Upper Secondary,1
STU-005941,SCH-042,Public,Female,Single,0,Kathmandu,Urban,Middle,12,2.21,0,1,81%,3.6,0,Lower Secondary,0
STU-006429,SCH-257,Public,Female,Single,0,Rasuwa,Urban,Second,9,1.98,1,1,68%,3.2,0,Primary,0
STU-004131,SCH-316,Public,Female,Single,0,Ramechhap,Rural,Poorest,12,1.64,1,1,42%,1.6,0,Lower Secondary,1
STU-007754,SCH-146,Public,Female,Single,0,Rasuwa,Rural,Middle,10,0.94,0,1,78%,3.2,0,Lower Secondary,0
STU-001618,SCH-303,Public,Male,Single,0,Makwanpur,Rural,Poorest,5,1.3,1,0,40%,1.6,0,Primary,1
STU-003993,SCH-107,Private,Male,Single,0,Sindhupalchok,Urban,Poorest,10,1.5,1,1,67%,2,2,Lower Secondary,1
STU-007377,SCH-155,Public,Female,Single,0,Nuwakot,Rural,Poorest,12,0.69,1,1,55%,3.2,0,Lower Secondary,0
STU-006150,SCH-165,Private,Male,Single,0,Nuwakot,Rural,Poorest,9,0.88,0,0,80%,3.2,2,Primary,0
STU-005027,SCH-053,Private,Male,Single,0,Sindhuli,Rural,Poorest,8,0.72,0,0,71%,3.2,0,Primary,0
STU-004732,SCH-444,Public,Female,Single,0,Ramechhap,Rural,Fourth,9,1.82,0,0,54%,2,0,Primary,1
STU-007549,SCH-040,Private,Female,Single,0,Sindhupalchok,Rural,Richest,6,1.13,0,1,69%,3.2,0,Primary,0
STU-008135,SCH-294,Public,Female,Single,1,Makwanpur,Urban,Fourth,15,4.24,1,1,68%,3.6,0,Upper Secondary,0
STU-001607,SCH-340,Public,Male,Single,0,Rasuwa,Rural,Second,5,1.76,0,0,48%,1.6,0,Primary,1
STU-003542,SCH-103,Public,Male,Single,0,Kathmandu,Urban,Poorest,8,1.61,1,1,69%,2.4,0,Primary,1
STU-005538,SCH-463,Public,Male,Single,1,Sindhuli,Rural,Second,14,3.04,0,0,62%,2.8,0,Upper Secondary,0
STU-003413,SCH-362,Public,Male,Single,0,Dolakha,Rural,Fourth,9,0.11,1,0,57%,2,0,Primary,1
STU-004956,SCH-064,Private,Male,Single,0,Kathmandu,Rural,Middle,11,1.47,0,0,53%,2,1,Lower Secondary,1
STU-005415,SCH-069,Public,Female,Single,0,Makwanpur,Urban,Poorest,7,1.63,1,1,71%,3.2,0,Primary,0
STU-007415,SCH-487,Private,Female,Single,0,Rasuwa,Rural,Second,10,1.67,0,0,69%,2.8,0,Lower Secondary,0
STU-002026,SCH-136,Public,Female,Single,0,Kathmandu,Rural,Middle,7,1.52,0,1,69%,2.4,0,Primary,1
STU-002616,SCH-384,Public,Male,Single,0,Makwanpur,Urban,Second,7,0.56,1,1,57%,2.4,2,Primary,1
STU-007389,SCH-243,Private,Male,Single,0,Sindhuli,Rural,Richest,10,2.89,0,0,85%,3.2,0,Lower Secondary,0
STU-002911,SCH-022,Public,Female,Single,1,Sindhuli,Urban,Poorest,15,3.44,0,1,40%,2,0,Upper Secondary,1
STU-008147,SCH-121,Private,Female,Single,0,Rasuwa,Rural,Poorest,12,3.69,0,1,74%,3.2,0,Lower Secondary,0
STU-007384,SCH-196,Public,Female,Single,0,Lalitpur,Rural,Poorest,6,0.97,1,0,58%,3.2,0,Primary,0
STU-003483,SCH-149,Public,Male,Single,0,Chitwan,Rural,Richest,8,0.43,0,0,45%,2.4,0,Primary,1
STU-000796,SCH-340,Public,Female,Single,0,Sindhuli,Rural,Middle,7,0.8,0,1,55%,2.4,0,Primary,1
STU-001576,SCH-229,Public,Male,Single,0,Dhading,Rural,Second,13,3.75,0,1,44%,1.6,1,Upper Secondary,1
STU-006177,SCH-260,Public,Female,Single,0,Kathmandu,Urban,Second,11,0.54,1,1,63%,3.2,1,Lower Secondary,0
STU-006267,SCH-005,Public,Male,Single,0,Makwanpur,Rural,Second,7,1.25,0,0,69%,2.8,0,Primary,0
STU-002459,SCH-097,Public,Female,Single,0,Sindhupalchok,Rural,Second,12,3.96,0,1,40%,2,0,Lower Secondary,1
STU-003239,SCH-202,Public,Male,Single,0,Dolakha,Urban,Fourth,10,3.85,1,1,63%,2.4,0,Lower Secondary,1
STU-005999,SCH-444,Public,Male,Single,0,Chitwan,Rural,Second,5,1.84,0,0,54%,2.8,0,Primary,0
STU-001579,SCH-177,Public,Female,Single,0,Chitwan,Urban,Fourth,10,1.02,1,1,63%,2.8,0,Lower Secondary,1
STU-000015,SCH-045,Public,Female,Single,0,Dolakha,Rural,Richest,13,3.79,1,1,40%,2.4,0,Upper Secondary,1
STU-002674,SCH-426,Public,Female,Single,0,Chitwan,Rural,Poorest,10,1.04,0,1,51%,1.6,0,Lower Secondary,1
STU-004984,SCH-463,Public,Female,Single,0,Bhaktapur,Urban,Poorest,5,1.52,1,0,42%,2.4,0,Primary,1
STU-002885,SCH-043,Public,Female,Single,0,Dolakha,Urban,Poorest,6,1.96,0,1,46%,2.4,0,Primary,1
STU-007205,SCH-294,Public,Female,Single,0,Kathmandu,Urban,Richest,12,3.87,1,1,90%,3.2,0,Lower Secondary,0
STU-004368,SCH-372,Public,Male,Single,0,Dhading,Rural,Second,13,2.9,0,1,40%,2,0,Upper Secondary,1
STU-003080,SCH-094,Public,Male,Single,0,Sindhupalchok,Urban,Richest,10,2.7,0,1,76%,2.4,2,Lower Secondary,1
STU-007204,SCH-405,Public,Female,Single,0,Ramechhap,Rural,Second,12,0.81,0,1,64%,2.8,0,Lower Secondary,0
STU-005904,SCH-357,Public,Male,Single,0,Sindhuli,Rural,Richest,12,1.92,0,0,71%,2.8,0,Lower Secondary,0
STU-004191,SCH-017,Public,Male,Single,0,Ramechhap,Rural,Fourth,10,3.61,0,0,47%,2.4,0,Lower Secondary,1
STU-009644,SCH-255,Public,Female,Single,0,Makwanpur,Rural,Middle,10,2.45,0,1,72%,3.2,0,Lower Secondary,0
STU-007591,SCH-187,Private,Male,Single,0,Kathmandu,Urban,Middle,9,0.9,0,0,92%,3.2,0,Primary,0
STU-009156,SCH-212,Private,Female,Single,0,Bhaktapur,Urban,Richest,10,2.07,1,1,91%,2.8,0,Lower Secondary,0
STU-004059,SCH-369,Public,Male,Single,0,Bhaktapur,Urban,Middle,15,4.65,0,1,61%,2.4,0,Upper Secondary,1
STU-004631,SCH-337,Private,Male,Single,0,Lalitpur,Rural,Second,8,0.4,1,0,53%,1.6,0,Primary,1
STU-006071,SCH-215,Private,Male,Single,0,Kathmandu,Urban,Second,8,1.24,1,1,88%,3.2,2,Primary,0
STU-002665,SCH-146,Private,Female,Single,0,Kathmandu,Urban,Richest,8,0.95,1,1,64%,2.8,0,Primary,1
STU-001027,SCH-387,Private,Female,Single,0,Bhaktapur,Rural,Poorest,6,1.19,0,0,46%,1.6,0,Primary,1
STU-005909,SCH-277,Private,Female,Single,0,Chitwan,Urban,Middle,5,0.31,1,0,82%,3.6,2,Primary,0
STU-005051,SCH-180,Public,Female,Single,0,Sindhupalchok,Rural,Second,11,3.25,0,0,70%,3.2,0,Lower Secondary,0
STU-009734,SCH-356,Public,Female,Single,0,Lalitpur,Urban,Second,13,1.09,0,1,84%,3.2,1,Upper Secondary,0
STU-005157,SCH-322,Public,Male,Single,0,Chitwan,Rural,Fourth,8,1.28,0,0,82%,2.4,0,Primary,0
